Date Time;Frequency ;Current A;Current B ;Current C ;Voltage AB;Voltage BC;Voltage CA;Active power ;Apparent power (VA);Active energy delivered Wh;Humidity;Temperature
25/6/2021 19:30;60,01;15,24;28,68;21,13;230,74;229,51;229,87;8033,82;2062,27;2201,00;66,34;26,41
25/6/2021 19:45;59,99;15,37;29,44;20,82;231,00;229,76;230,17;8114,88;2083,06;2156,00;65,93;26,23
25/6/2021 20:00;59,95;15,70;26,62;21,52;231,38;230,11;230,54;7966,44;2131,04;2210,00;66,12;25,91
25/6/2021 20:15;59,95;15,85;27,75;20,72;231,28;230,17;230,47;7958,17;2149,94;2235,00;66,17;25,74
25/6/2021 20:30;60,03;30,05;26,72;21,92;231,61;230,48;230,78;10146,11;4081,44;2295,00;66,59;25,31
25/6/2021 20:45;59,96;15,50;26,56;25,34;231,92;230,60;230,97;8307,76;2107,74;2151,00;67,09;25,03
25/6/2021 21:00;60,02;15,75;31,79;23,61;231,55;230,26;230,69;8753,23;2138,29;2069,00;67,67;24,78
25/6/2021 21:15;59,96;15,48;27,61;24,31;231,58;230,24;230,64;8360,72;2102,16;2054,00;67,86;24,80
25/6/2021 21:30;60,02;16,10;26,43;24,06;231,75;230,46;230,84;8328,15;2187,96;2068,00;67,96;24,87
25/6/2021 21:45;60,00;15,45;30,80;20,92;232,02;230,70;231,20;8340,71;2102,18;2161,00;68,01;24,83
25/6/2021 22:00;60,01;15,77;26,89;20,89;231,94;230,61;230,89;8018,19;2143,07;2069,00;68,26;24,60
25/6/2021 22:15;60,02;15,53;29,23;21,30;231,88;230,66;230,98;8235,79;2111,05;2093,00;68,27;24,59
25/6/2021 22:30;59,98;15,22;26,94;21,36;232,34;231,04;231,47;7912,49;2073,50;2089,00;68,40;24,59
25/6/2021 22:45;59,98;15,24;28,76;21,20;232,09;230,71;231,27;8071,42;2073,89;2067,00;68,67;24,39
25/6/2021 23:00;60,01;15,24;27,36;20,35;232,64;231,34;231,82;7850,07;2079,66;1998,00;68,61;24,40
25/6/2021 23:15;60,02;15,72;26,46;20,16;232,65;231,49;231,93;7845,05;2144,45;2200,00;68,53;24,25
25/6/2021 23:30;60,06;15,28;30,37;20,07;232,87;231,54;232,03;8138,85;2086,19;1969,00;68,80;24,28
25/6/2021 23:45;60,03;15,74;29,54;19,59;233,01;231,59;232,23;8129,86;2150,64;2059,00;68,66;24,24
26/6/2021 0:00;59,99;15,40;29,41;23,46;233,32;231,83;232,46;8515,58;2106,30;2184,00;68,65;24,20
26/6/2021 0:15;60,02;16,16;27,61;26,20;233,16;231,73;232,38;8721,48;2210,12;2118,00;68,59;24,13
26/6/2021 0:30;60,03;15,48;30,28;21,21;233,43;232,14;232,77;8354,55;2119,11;2223,00;68,80;24,01
26/6/2021 0:45;59,99;15,80;27,35;21,29;232,75;231,24;231,94;8121,99;2156,26;2131,00;68,70;23,98
26/6/2021 1:00;59,94;15,22;31,78;21,11;232,80;231,25;232,28;8384,25;2080,07;2146,00;69,05;23,86
26/6/2021 1:15;59,94;15,84;26,71;20,72;233,04;231,46;232,25;7958,35;2165,00;2019,00;69,13;23,94
26/6/2021 1:30;59,95;15,23;29,36;24,25;233,28;231,66;232,62;8519,93;2084,71;2144,00;69,29;23,76
26/6/2021 1:45;60,03;15,26;29,41;19,73;234,03;232,26;233,33;8033,01;2095,60;2168,00;69,33;23,74
26/6/2021 2:00;60,00;15,71;31,88;20,79;233,04;231,48;232,36;8617,76;2147,32;2102,00;69,48;23,71
26/6/2021 2:15;59,97;15,44;30,22;20,26;233,21;231,58;232,63;8230,44;2112,71;2077,00;69,60;23,70
26/6/2021 2:30;60,05;16,08;30,73;21,99;233,83;232,14;233,18;8624,06;2206,26;2111,00;69,62;23,65
26/6/2021 2:45;60,03;15,52;28,81;20,61;233,65;231,94;233,05;8129,84;2127,49;2140,00;70,04;23,21
26/6/2021 3:00;59,98;24,66;33,13;21,70;233,50;232,03;233,09;9915,14;3378,88;2117,00;70,88;23,05
26/6/2021 3:15;60,00;15,24;29,85;25,24;233,87;232,19;233,18;8674,23;2090,84;2185,00;71,10;23,00
26/6/2021 3:30;59,96;15,71;28,07;23,43;233,94;232,23;233,27;8408,48;2155,27;2031,00;71,28;22,91
26/6/2021 3:45;60,00;15,25;26,86;24,20;234,30;232,62;233,65;8252,75;2095,90;2095,00;71,48;22,88
26/6/2021 4:00;60,03;16,09;28,86;24,14;233,63;232,05;232,90;8722,33;2204,71;2071,00;71,64;22,98
26/6/2021 4:15;60,03;15,49;27,68;20,94;233,79;232,20;233,19;8058,82;2124,04;2093,00;71,70;22,83
26/6/2021 4:30;59,98;18,58;31,86;19,67;233,58;232,04;233,00;8794,65;2545,82;2241,00;71,88;22,77
26/6/2021 4:45;60,02;15,03;26,72;21,14;233,83;232,25;233,23;7866,70;2061,52;2082,00;72,02;22,79
26/6/2021 5:00;59,97;15,27;31,12;22,07;233,79;232,06;233,00;8584,03;2093,03;2117,00;72,11;22,73
26/6/2021 5:15;59,95;15,68;27,05;21,26;233,86;232,23;233,14;8053,29;2150,51;2094,00;72,21;22,73
26/6/2021 5:30;59,97;15,18;30,78;22,67;233,85;232,36;233,18;8604,76;2081,04;2091,00;72,19;22,72
26/6/2021 5:45;59,91;15,95;26,88;19,73;233,75;232,14;233,00;7933,14;2185,39;2199,00;72,30;22,71
26/6/2021 6:00;60,02;15,51;26,17;18,92;233,96;232,48;233,40;7530,26;2128,80;2018,00;72,37;22,65
26/6/2021 6:15;60,00;15,88;29,00;18,21;233,79;232,43;233,39;7761,53;2178,77;1942,00;72,46;22,68
26/6/2021 6:30;60,03;12,75;26,18;20,43;234,32;232,91;233,80;7339,50;1752,03;1873,00;72,63;22,67
26/6/2021 6:45;59,99;13,27;24,86;21,11;235,20;233,97;234,70;7354,01;1831,13;1867,00;72,63;22,75
26/6/2021 7:00;60,02;22,62;35,48;20,24;234,94;233,97;234,68;9442,68;3118,25;1899,00;72,43;22,75
26/6/2021 7:15;59,98;13,01;24,93;24,78;234,84;233,76;234,27;7685,91;1791,32;2056,00;72,49;22,68
26/6/2021 7:30;60,01;13,27;26,09;22,55;234,48;233,45;234,11;7617,11;1825,98;1954,00;72,56;22,82
26/6/2021 7:45;59,96;12,74;26,18;23,38;234,04;233,02;233,62;7553,83;1748,37;1830,00;72,55;22,80
26/6/2021 8:00;60,00;13,34;26,29;18,93;233,60;232,50;232,95;7256,06;1827,07;1946,00;72,58;22,78
26/6/2021 8:15;60,01;13,12;30,42;18,88;233,34;232,23;232,79;7608,15;1794,53;1896,00;72,43;22,77
26/6/2021 8:30;60,03;13,73;24,86;19,14;233,40;231,99;232,64;7202,12;1879,09;1980,00;72,34;22,68
26/6/2021 8:45;60,02;13,14;24,85;20,21;232,41;231,02;231,60;7189,21;1789,61;1914,00;72,38;22,82
26/6/2021 9:00;60,05;13,37;28,22;20,93;231,81;230,59;230,94;7633,54;1815,43;1871,00;72,30;22,75
26/6/2021 9:15;60,01;12,89;26,12;19,98;231,37;230,20;230,67;7194,47;1748,29;1917,00;72,38;22,91
26/6/2021 9:30;60,07;12,75;28,84;24,57;231,57;230,33;230,73;7932,06;1730,68;1845,00;72,16;23,06
26/6/2021 9:45;60,02;22,41;33,11;23,20;231,29;230,34;230,86;9424,70;3040,39;1893,00;71,99;23,04
26/6/2021 10:00;60,06;13,19;26,03;22,45;231,31;230,16;230,55;7524,90;1788,35;2020,00;72,01;23,12
26/6/2021 10:15;59,95;13,45;29,06;23,32;230,47;229,36;229,75;7904,98;1816,28;1832,00;71,73;23,21
26/6/2021 10:30;59,99;12,76;24,79;18,93;230,20;228,99;229,44;6922,71;1721,55;1839,00;71,59;23,31
26/6/2021 10:45;59,99;13,37;27,59;18,97;230,91;229,80;230,04;7342,67;1808,98;1865,00;71,46;23,51
26/6/2021 11:00;60,02;22,72;33,15;20,03;230,46;229,59;230,02;9359,63;3070,06;1956,00;71,16;23,70
26/6/2021 11:15;59,98;13,86;25,24;19,56;230,62;229,66;229,97;7242,27;1873,34;2061,00;71,11;23,71
26/6/2021 11:30;60,02;12,79;25,89;20,92;230,77;229,55;229,96;7248,37;1730,09;1877,00;70,98;23,85
26/6/2021 11:45;60,00;13,39;28,94;18,80;230,44;229,19;229,72;7437,04;1808,55;1924,00;70,86;23,89
26/6/2021 12:00;60,00;12,82;29,42;19,63;230,61;229,44;229,98;7468,16;1733,66;1916,00;70,54;24,30
26/6/2021 12:15;59,98;13,96;31,34;22,49;230,42;229,28;229,80;8316,29;1885,63;1817,00;70,33;24,30
26/6/2021 12:30;59,97;22,45;31,39;23,16;230,20;229,25;229,87;9248,13;3031,72;1954,00;69,87;24,49
26/6/2021 12:45;59,99;12,78;27,77;22,39;230,02;228,95;229,41;7582,38;1722,90;1912,00;69,64;24,62
26/6/2021 13:00;60,02;12,76;26,44;23,70;230,21;228,96;229,51;7568,25;1722,31;1866,00;68,95;24,79
26/6/2021 13:15;60,03;12,95;29,21;21,05;230,24;229,06;229,72;7610,27;1748,30;1856,00;68,78;24,84
26/6/2021 13:30;60,02;13,79;28,81;20,60;230,55;229,37;229,72;7683,66;1862,41;1880,00;68,51;25,04
26/6/2021 13:45;60,00;13,20;27,30;20,23;230,93;229,82;230,49;7387,44;1787,58;1861,00;68,35;24,98
26/6/2021 14:00;60,00;13,35;26,38;22,46;230,86;229,94;230,34;7574,58;1807,68;1954,00;68,30;24,95
26/6/2021 14:15;59,97;12,51;27,58;18,99;231,01;230,01;230,47;7201,63;1694,89;1948,00;68,39;25,21
26/6/2021 14:30;60,00;13,10;24,54;19,44;231,26;230,28;230,81;7039,71;1776,21;1834,00;68,14;25,28
26/6/2021 14:45;60,02;13,90;25,90;22,59;231,47;230,63;231,09;7639,15;1886,75;1892,00;67,77;25,27
26/6/2021 15:00;60,03;13,42;28,59;23,35;231,50;230,53;231,08;7893,49;1821,69;1835,00;67,75;25,31
26/6/2021 15:15;60,01;22,89;32,96;24,65;231,63;230,82;231,55;9616,68;3112,23;1961,00;67,70;25,28
26/6/2021 15:30;60,01;13,33;25,47;25,34;230,77;229,66;230,32;7743,19;1804,10;2005,00;67,47;25,40
26/6/2021 15:45;60,04;13,13;29,26;19,41;230,87;229,90;230,67;7517,26;1778,26;1840,00;67,31;25,55
26/6/2021 16:00;59,94;13,82;24,71;20,11;231,27;230,15;230,83;7244,32;1874,56;1885,00;67,21;25,58
26/6/2021 16:15;60,00;12,76;27,53;20,26;231,18;230,26;231,05;7359,69;1731,85;1869,00;66,91;25,57
26/6/2021 16:30;59,97;13,09;24,44;18,29;231,17;230,11;230,94;6917,07;1776,49;1844,00;66,89;25,62
26/6/2021 16:45;59,95;13,09;25,90;19,20;231,10;229,99;230,94;7139,85;1775,91;1960,00;66,85;25,47
26/6/2021 17:00;60,03;13,78;28,66;19,42;231,35;230,24;231,19;7575,25;1871,87;1870,00;67,05;25,57
26/6/2021 17:15;60,04;12,73;25,91;24,61;232,08;230,81;231,78;7644,03;1734,14;1870,00;66,99;25,53
26/6/2021 17:30;59,97;12,68;25,71;23,65;232,03;230,81;231,72;7489,89;1726,70;1910,00;66,75;25,57
26/6/2021 17:45;59,98;13,02;26,14;23,75;231,81;230,51;231,39;7635,06;1771,52;1819,00;66,83;25,56
26/6/2021 18:00;60,03;22,53;31,49;25,37;232,06;231,06;231,76;9512,42;3068,63;1941,00;66,91;25,56
26/6/2021 18:15;59,96;12,48;24,38;23,16;231,42;229,98;230,67;7295,14;1693,16;1932,00;66,87;25,48
26/6/2021 18:30;60,02;24,16;30,19;20,34;231,41;229,93;230,78;9475,28;3278,75;1909,00;67,08;25,44
26/6/2021 18:45;59,98;15,25;28,38;20,09;231,68;230,04;230,84;7889,73;2072,31;2048,00;67,21;25,39
26/6/2021 19:00;60,01;16,14;27,50;20,62;231,83;230,31;230,85;8069,81;2192,12;2104,00;67,49;25,32
26/6/2021 19:15;60,01;15,25;29,53;19,61;232,17;230,50;231,12;7994,01;2074,80;2051,00;68,32;25,22
26/6/2021 19:30;59,97;15,55;27,44;20,67;232,10;230,50;231,00;7946,75;2114,27;2181,00;68,61;25,05
26/6/2021 19:45;60,01;15,46;30,85;22,47;232,26;230,54;231,23;8502,01;2104,60;2079,00;68,86;24,94
26/6/2021 20:00;59,99;16,16;26,59;21,31;232,40;230,85;231,38;8061,90;2199,76;2009,00;68,93;24,90
26/6/2021 20:15;60,00;15,28;26,31;21,43;232,68;230,92;231,65;7839,29;2082,56;2058,00;69,01;24,79
26/6/2021 20:30;60,00;15,78;31,48;19,73;232,73;231,14;231,90;8308,45;2152,86;1973,00;68,73;24,76
26/6/2021 20:45;60,00;15,43;27,24;20,23;233,25;231,55;232,29;7901,82;2108,99;2151,00;67,95;24,64
26/6/2021 21:00;59,97;15,50;30,42;20,85;232,23;230,53;231,34;8299,03;2109,24;2055,00;67,52;24,51
26/6/2021 21:15;60,03;15,12;28,85;23,41;232,98;231,18;232,01;8400,87;2064,06;2060,00;67,49;24,26
26/6/2021 21:30;60,04;15,27;30,41;20,24;233,16;231,23;232,17;8284,58;2086,50;2089,00;67,71;24,00
26/6/2021 21:45;59,99;16,07;30,77;21,29;232,73;230,93;231,95;8515,42;2193,15;2103,00;67,89;24,08
26/6/2021 22:00;60,01;15,53;29,43;21,69;232,96;231,30;232,23;8321,83;2121,31;2129,00;67,96;23,87
26/6/2021 22:15;60,02;15,84;30,27;24,59;233,24;231,50;232,38;8754,08;2165,68;2336,00;68,11;23,79
26/6/2021 22:30;60,03;15,02;30,23;23,38;233,25;231,46;232,37;8479,75;2053,79;2072,00;68,21;23,72
26/6/2021 22:45;59,99;16,07;31,59;24,85;233,22;231,39;232,30;8979,80;2196,14;2134,00;68,38;23,66
26/6/2021 23:00;60,02;15,24;29,73;23,37;233,65;231,83;232,73;8470,13;2087,31;2049,00;68,83;23,45
26/6/2021 23:15;60,00;15,77;26,71;24,45;233,76;231,99;232,91;8378,50;2161,40;2056,00;68,90;23,33
26/6/2021 23:30;60,03;24,51;36,35;20,15;233,78;232,20;233,33;10032,46;3360,89;2227,00;69,22;23,18
26/6/2021 23:45;60,05;15,46;27,96;21,32;234,30;232,57;233,62;8145,23;2124,37;2070,00;69,45;23,21
27/6/2021 0:00;60,02;15,69;27,56;21,16;234,40;232,78;233,64;8117,48;2154,96;2154,00;69,56;23,13
27/6/2021 0:15;59,99;15,31;27,77;20,62;234,51;232,77;233,85;7980,39;2105,66;2071,00;69,64;23,21
27/6/2021 0:30;60,03;16,03;30,48;22,04;234,55;232,75;233,80;8612,89;2204,25;2161,00;69,54;23,19
27/6/2021 0:45;60,00;15,00;27,58;20,20;234,76;233,03;234,06;7874,43;2064,08;2097,00;69,70;23,13
27/6/2021 1:00;60,03;15,71;26,62;23,44;234,97;233,31;234,34;8288,03;2164,92;2154,00;69,83;23,09
27/6/2021 1:15;59,98;15,45;26,86;23,47;234,78;233,10;234,10;8279,04;2126,44;2074,00;69,74;23,04
27/6/2021 1:30;59,98;16,01;26,62;24,13;234,71;233,02;234,03;8437,18;2202,69;2045,00;70,05;22,80
27/6/2021 1:45;60,03;15,25;27,80;20,77;235,02;233,28;234,35;8000,38;2101,63;2024,00;70,18;22,94
27/6/2021 2:00;59,94;15,22;27,53;24,71;235,00;233,38;234,42;8407,59;2097,19;2136,00;70,21;23,13
27/6/2021 2:15;59,97;15,50;30,17;22,16;235,05;233,29;234,30;8489,50;2136,00;2258,00;69,97;23,26
27/6/2021 2:30;60,02;15,21;26,36;22,48;235,41;233,59;234,57;8111,13;2098,51;2116,00;69,97;23,24
27/6/2021 2:45;60,00;15,69;27,46;19,59;235,28;233,67;234,62;7940,84;2164,06;2096,00;70,05;23,16
27/6/2021 3:00;60,01;15,43;29,30;20,71;235,56;233,83;234,76;8251,52;2130,26;2038,00;69,98;23,41
27/6/2021 3:15;59,96;16,11;26,58;21,31;235,11;233,36;234,41;8376,16;2484,89;2055,00;69,98;23,35
27/6/2021 3:30;60,03;14,99;26,51;21,92;235,26;233,40;234,56;7958,84;2067,54;2045,00;70,06;23,51
27/6/2021 3:45;59,94;15,93;32,35;20,82;235,05;233,25;234,39;8671,81;2194,82;2174,00;70,03;23,27
27/6/2021 4:00;59,99;15,42;27,58;21,53;235,22;233,51;234,54;8133,92;2126,51;2067,00;70,59;23,12
27/6/2021 4:15;60,02;15,56;29,37;21,37;235,46;233,65;234,79;8346,73;2148,08;2073,00;70,63;23,01
27/6/2021 4:30;60,02;15,22;26,49;24,72;235,65;233,88;234,97;8289,11;2102,29;2084,00;71,11;22,73
27/6/2021 4:45;60,04;15,42;27,83;20,63;235,50;233,75;234,82;8069,75;2128,91;2105,00;71,11;22,80
27/6/2021 5:00;59,96;21,47;37,55;24,06;235,42;233,67;234,95;10323,80;2963,73;2217,00;71,09;22,78
27/6/2021 5:15;59,97;15,31;26,87;24,87;235,33;233,46;234,57;8354,40;2112,09;2058,00;71,17;22,80
27/6/2021 5:30;60,01;15,72;28,77;23,42;235,49;233,62;234,76;8561,90;2170,13;2083,00;71,42;22,72
27/6/2021 5:45;60,01;15,26;30,97;23,37;235,57;233,86;234,93;8650,84;2106,86;2089,00;71,73;22,61
27/6/2021 6:00;60,04;15,70;25,10;22,74;235,65;234,01;235,12;7897,13;2169,36;2108,00;71,86;22,61
27/6/2021 6:15;60,04;15,26;27,92;18,51;235,87;234,16;235,35;7670,46;2111,24;1946,00;71,77;22,67
27/6/2021 6:30;59,96;13,06;26,22;21,18;236,18;234,48;235,67;7537,69;1808,73;2052,00;71,69;22,81
27/6/2021 6:45;60,01;12,40;27,93;18,86;236,99;235,43;236,38;7338,15;1722,62;1919,00;71,51;22,89
27/6/2021 7:00;60,00;12,98;25,07;19,87;236,93;235,54;236,37;7257,62;1802,43;1877,00;71,50;22,78
27/6/2021 7:15;59,97;12,66;26,12;18,36;236,59;235,37;235,97;7121,92;1754,98;1929,00;71,66;22,86
27/6/2021 7:30;60,05;12,39;30,35;18,31;236,64;235,48;236,17;7486,40;1718,78;1859,00;71,56;22,82
27/6/2021 7:45;59,99;13,66;25,96;19,48;236,17;234,97;235,56;7399,38;1889,70;2049,00;71,44;22,87
27/6/2021 8:00;59,99;12,62;24,83;24,71;236,10;234,79;235,59;7617,27;1746,41;1891,00;71,35;23,01
27/6/2021 8:15;60,03;13,04;31,54;24,71;235,50;234,18;234,82;8527,99;1799,66;1879,00;71,22;23,27
27/6/2021 8:30;60,06;12,74;26,01;23,81;235,94;234,63;235,42;7683,38;1762,28;1883,00;70,99;23,35
27/6/2021 8:45;59,98;13,10;27,64;24,48;235,42;234,13;235,12;7947,76;1808,75;1873,00;70,93;23,40
27/6/2021 9:00;60,03;12,68;28,94;23,33;234,66;233,36;234,17;7884,47;1743,78;1969,00;70,88;23,53
27/6/2021 9:15;60,01;13,90;27,36;18,38;234,84;233,54;234,25;7426,19;1912,91;2043,00;70,86;23,49
27/6/2021 9:30;59,98;12,44;30,28;19,10;234,26;232,85;233,54;7517,76;1708,02;1924,00;70,65;23,69
27/6/2021 9:45;59,95;12,67;24,81;19,48;233,95;232,56;233,18;7049,95;1736,28;1903,00;70,52;23,80
27/6/2021 10:00;59,98;13,69;27,76;19,70;233,91;232,62;233,35;7570,15;1876,64;1888,00;70,50;23,83
27/6/2021 10:15;60,05;12,46;26,04;19,45;233,27;231,86;232,46;7135,26;1703,42;1888,00;70,09;24,04
27/6/2021 10:30;60,03;13,07;27,68;20,05;233,28;231,93;232,68;7481,51;1787,46;1976,00;69,80;24,14
27/6/2021 10:45;60,02;12,81;31,36;20,01;232,86;231,29;232,15;7954,69;1748,94;1832,00;69,56;24,31
27/6/2021 11:00;60,05;13,32;25,75;19,35;233,10;231,68;232,48;7231,89;1820,06;1881,00;69,33;24,40
27/6/2021 11:15;59,97;12,69;30,29;19,06;232,64;231,22;232,14;7522,89;1731,16;1844,00;69,08;24,59
27/6/2021 11:30;59,98;13,53;27,59;19,09;232,25;230,98;231,70;7452,63;1841,56;1798,00;69,00;24,70
27/6/2021 11:45;60,02;12,71;24,76;23,05;232,21;230,73;231,19;7376,14;1729,08;1862,00;68,55;24,89
27/6/2021 12:00;60,00;12,70;24,86;18,34;231,97;230,67;231,25;6899,30;1725,62;1998,00;68,44;25,13
27/6/2021 12:15;60,04;13,55;28,86;19,96;231,65;230,49;230,98;7623,51;1839,75;1852,00;68,05;25,49
27/6/2021 12:30;60,03;12,47;24,56;25,14;231,19;230,02;230,42;7487,48;1688,89;1828,00;68,00;25,58
27/6/2021 12:45;59,97;14,92;25,69;24,38;230,94;229,75;230,19;7906,61;2018,92;1881,00;68,04;25,70
27/6/2021 13:00;59,98;13,10;25,68;24,47;230,89;229,70;230,18;7650,13;1771,66;1894,00;67,22;25,99
27/6/2021 13:15;60,02;12,76;26,04;23,07;231,36;230,25;230,65;7497,74;1729,44;2052,00;66,83;26,05
27/6/2021 13:30;60,01;13,63;27,35;18,71;230,56;229,47;229,85;7338,31;1841,00;1854,00;66,66;26,07
27/6/2021 13:45;60,02;13,89;24,70;18,20;230,39;229,28;229,76;7049,66;1874,58;1842,00;66,69;26,21
27/6/2021 14:00;59,99;13,36;24,63;18,72;230,74;229,63;230,05;7007,12;1806,49;1877,00;66,03;26,44
27/6/2021 14:15;60,03;13,56;28,75;24,17;230,70;229,76;229,98;8030,30;1832,45;1809,00;65,70;26,40
27/6/2021 14:30;59,97;22,46;32,42;20,02;230,09;229,22;229,65;9004,63;3029,58;1867,00;65,27;26,71
27/6/2021 14:45;60,06;13,11;25,47;20,73;231,60;230,54;230,92;7274,21;1779,07;2054,00;64,76;26,79
27/6/2021 15:00;60,01;13,14;30,68;23,60;231,01;230,04;230,28;8160,45;1778,75;1899,00;64,24;26,98
27/6/2021 15:15;59,97;12,68;24,64;24,43;231,69;230,57;230,96;7480,64;1721,32;1872,00;63,89;26,95
27/6/2021 15:30;59,96;13,10;25,89;24,07;231,75;230,66;231,15;7661,49;1779,86;1892,00;63,81;26,81
27/6/2021 15:45;60,03;13,10;24,61;22,44;232,07;230,84;231,22;7382,65;1781,28;1799,00;63,64;26,84
27/6/2021 16:00;59,97;13,44;24,63;23,43;232,00;230,76;231,31;7508,33;1827,23;1973,00;63,59;26,87
27/6/2021 16:15;60,00;12,53;27,39;19,00;232,25;231,09;231,61;7209,84;1705,52;1882,00;63,03;26,95
27/6/2021 16:30;59,99;13,53;26,80;18,73;232,16;231,11;231,53;7276,28;1841,31;1828,00;63,10;26,96
27/6/2021 16:45;59,99;12,48;26,95;19,93;232,32;231,23;231,66;7233,48;1699,32;1899,00;63,25;27,00
27/6/2021 17:00;60,04;13,42;27,49;20,26;232,59;231,64;232,09;7502,10;1829,69;1934,00;63,29;27,04
27/6/2021 17:15;60,03;22,60;31,40;21,02;232,63;231,74;232,36;9091,20;3082,98;1924,00;63,04;27,06
27/6/2021 17:30;60,01;12,46;28,71;23,78;233,06;231,92;232,45;7807,97;1702,54;1991,00;63,19;27,01
27/6/2021 17:45;59,97;13,72;25,91;19,09;232,95;232,15;232,54;7274,99;1872,79;1780,00;63,12;27,02
27/6/2021 18:00;59,99;12,64;24,57;19,01;233,34;232,44;232,71;6952,79;1728,76;1803,00;63,44;26,89
27/6/2021 18:15;60,00;13,09;28,44;18,82;233,12;231,92;232,55;7388,71;1788,61;1827,00;63,56;26,77
27/6/2021 18:30;59,98;12,84;27,07;22,69;231,85;230,34;231,01;7836,83;1744,90;1843,00;63,56;26,81
27/6/2021 18:45;60,03;15,49;28,26;20,51;232,68;231,00;231,68;8029,00;2112,01;2133,00;63,55;26,80
27/6/2021 19:00;59,98;15,28;26,77;26,22;231,89;230,40;230,94;8395,46;2075,18;2085,00;64,22;26,62
27/6/2021 19:15;60,00;16,09;29,23;21,13;232,09;230,19;230,69;8308,45;2186,78;2119,00;64,34;26,63
27/6/2021 19:30;60,00;15,21;26,37;21,01;232,31;230,51;231,05;7779,14;2068,53;2041,00;66,05;26,49
27/6/2021 19:45;60,01;15,94;30,62;19,57;232,69;231,11;231,66;8219,26;2171,96;2080,00;66,90;26,33
27/6/2021 20:00;60,00;15,69;29,36;20,22;232,72;231,21;231,48;8159,34;2137,38;2272,00;67,40;26,09
